funding_rounds,time_to_first_funding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,status,region,city,total_investment,Industry_Group,Founded_year
2.0,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,100000000.0,38,2009
6.0,4676.0,2428500.0,0.0,0.0,0.0,0.0,0.0,0.0,2,627,632,15034750.0,5,1998
1.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,890,3138,250000.0,38,2010
2.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,815,2889,1610541.0,38,2005
1.0,729.0,615000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,823,2928,615000.0,28,2009
6.0,478.0,9000000.0,12600000.0,31000000.0,57949900.0,0.0,0.0,0.0,2,770,2096,111949900.0,5,2006
1.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,904,3194,50000.0,11,2011
1.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,299,2668,0.0,39,2014
1.0,921.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,2,521,2679,500000.0,31,2007
1.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,190,3464,400000.0,8,2007
1.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,700,2394,0.0,31,2006
1.0,224.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,785,468,16000000.0,23,2010
1.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,756,2660,50000.0,38,2010
1.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,557,1852,0.0,38,2010
1.0,2464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,74,186,4000000.0,14,2001
1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,413,1432,200000.0,38,2012
1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,2000000.0,38,2004
1.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,3026,0.0,42,2011
1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,238,350,118000.0,7,2012
1.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2383,5844811.0,38,2008
1.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,521,3499,0.0,34,2006
1.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,890,1334,1000000.0,31,2009
